NMFS_DNA_ID,PHENOTYPE,COLLECTION_DATE,REACH_SITE,LOCATION_COMMENTS_F,LATITUDE_F,LONGITUDE_F,Sample_ID,Sample_Plate
T026455,NA,2006-10-20,Reach 4,"Salmon River, Quail Flat to Nordhelmer, Reach 4 was split, this was the lower section.",NA,NA,CH14575,T026455_T279_4A
T026456,NA,2006-10-20,Reach 6A,"Salmon River, South Fork",NA,NA,CH14587,T026456_T279_4B
T026457,NA,2006-10-20,Reach 10A,Salmon River,NA,NA,CH14599,T026457_T279_4C
T026458,NA,2006-10-20,Reach 10A,"Salmon River, North Fork 8-6",NA,NA,CH14611,T026458_T279_4D
T026459,NA,2006-10-20,Reach 10A,"Salmon River, North Fork 8-6",NA,NA,CH14623,T026459_T279_4E
T026460,NA,2006-10-24,Reach 6A,"Salmon River, South Fork",NA,NA,CH14635,T026460_T279_4F
T026461,NA,2006-10-24,Reach 6B,"Salmon River, Mathews to Indian",NA,NA,CH14647,T026461_T279_4G
T026462,NA,2006-10-24,Reach 6B,"Salmon River, Mathews to Indian",NA,NA,CH14659,T026462_T279_4H
T026463,NA,2006-10-24,Reach 6B,"Salmon River, South Fork",NA,NA,CH14576,T026463_T279_5A
T026464,NA,2006-10-24,Reach 10B,"Salmon River, 6-4",NA,NA,CH14588,T026464_T279_5B
T026465,NA,2006-11-03,Reach 5A,"Salmon River, Bell Forks",NA,NA,CH14600,T026465_T279_5C
T026466,NA,2006-11-03,Reach 4A,"Salmon River, Method: Car",NA,NA,CH14612,T026466_T279_5D
T026467,NA,2006-11-03,Reach 9,"Salmon River, North Fork",NA,NA,CH14624,T026467_T279_5E
T026468,NA,2006-11-07,Reach 4,Salmon River,NA,NA,CH14636,T026468_T279_5F
T026469,NA,2006-11-07,Reach 4,Salmon River,NA,NA,CH14648,T026469_T279_5G
T026470,NA,2006-11-07,Reach 4A,Salmon River,NA,NA,CH14660,T026470_T279_5H
T026471,NA,2006-11-07,Reach 4A,Salmon River,NA,NA,CH14577,T026471_T279_6A
T026472,NA,2006-11-07,Reach 4B,Salmon River,NA,NA,CH14589,T026472_T279_6B
T026473,NA,2006-11-07,Reach 5A,"Salmon River, South Fork",NA,NA,CH14601,T026473_T279_6C
T026474,NA,2006-11-07,Reach 5A,"Salmon River, South Fork",NA,NA,CH14613,T026474_T279_6D
T026475,NA,2006-11-07,Reach 5A,"Salmon River, South Fork",NA,NA,CH14625,T026475_T279_6E
T026476,NA,2006-11-10,Reach 5B,"Salmon River, South Fork",NA,NA,CH14637,T026476_T279_6F
T026477,NA,2006-11-10,Reach 5B,"Salmon River, South Fork",NA,NA,CH14649,T026477_T279_6G
T026478,NA,2006-11-10,Reach 4,Salmon River,NA,NA,CH14661,T026478_T279_6H
T026479,NA,2006-11-10,Reach 4,Salmon River,NA,NA,CH14578,T026479_T279_7A
T026480,NA,2006-12-01,Reach 6A,"Salmon River, South Fork",NA,NA,CH14590,T026480_T279_7B
T031520,Spring Run,2006-10-17,NA,"Petersburg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14614,T031520_T332_1B
T031521,Spring Run,2006-10-17,NA,"Petersburg, Coordinates for River confluence or Town nearest Collection Site",41.1010277777777,-123.078083333333,CH14626,T031521_T332_1C
T031522,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14638,T031522_T332_1D
T031523,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14650,T031523_T332_1E
T031524,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14662,T031524_T332_1F
T031525,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14579,T031525_T332_1G
T031526,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14591,T031526_T332_1H
T031527,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14603,T031527_T332_2A
T031529,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14615,T031529_T332_2C
T031530,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14627,T031530_T332_2D
T031531,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14639,T031531_T332_2E
T031532,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14651,T031532_T332_2F
T031533,Spring Run,2007-10-08,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14663,T031533_T332_2G
T031534,Spring Run,2007-10-08,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14580,T031534_T332_2H
T031535,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14592,T031535_T332_3A
T031536,Spring Run,2007-10-16,NA,"Cecilville, Coordinates for River confluence or Town nearest Collection Site",41.1381611111111,-123.138397222222,CH14604,T031536_T332_3B
T031537,Spring Run,1997-10-01,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14616,T031537_T332_3C
T031538,Spring Run,1997-10-01,NA,"South Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.2571638888888,-123.321702777777,CH14628,T031538_T332_3D
T031539,Spring Run,1997-10-01,NA,"East Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14640,T031539_T332_3E
T031540,Spring Run,1997-10-01,NA,"East Fork Salmon River, Coordinates for River confluence or Town nearest Collection Site",41.1534722222222,-123.109641666666,CH14652,T031540_T332_3F
